idna_subject,checker_type,destination,source,tested_at
included_at_iso: 2020-12-19T21:21,AVAILABILITY,360totalsecurity.com,/home/travis/build/PyFunceble/ci_test/360totalsecurity.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,360totalsecurity.com,/home/travis/build/PyFunceble/ci_test/360totalsecurity.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,360totalsecurity.com,/home/travis/build/PyFunceble/ci_test/360totalsecurity.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,360totalsecurity.com,/home/travis/build/PyFunceble/ci_test/360totalsecurity.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,4dle.info,/home/travis/build/PyFunceble/ci_test/4dle.info,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,4dle.info,/home/travis/build/PyFunceble/ci_test/4dle.info,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,4dle.info,/home/travis/build/PyFunceble/ci_test/4dle.info,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,4dle.info,/home/travis/build/PyFunceble/ci_test/4dle.info,2020-12-22T23:46:26.979058
status,AVAILABILITY,4dle.info,/home/travis/build/PyFunceble/ci_test/4dle.info,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,4dsply.com,/home/travis/build/PyFunceble/ci_test/4dsply.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,4dsply.com,/home/travis/build/PyFunceble/ci_test/4dsply.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,4dsply.com,/home/travis/build/PyFunceble/ci_test/4dsply.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,4dsply.com,/home/travis/build/PyFunceble/ci_test/4dsply.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,4dsply.com,/home/travis/build/PyFunceble/ci_test/4dsply.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,4seeresults.com,/home/travis/build/PyFunceble/ci_test/4seeresults.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,4seeresults.com,/home/travis/build/PyFunceble/ci_test/4seeresults.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,4seeresults.com,/home/travis/build/PyFunceble/ci_test/4seeresults.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,4seeresults.com,/home/travis/build/PyFunceble/ci_test/4seeresults.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,4seeresults.com,/home/travis/build/PyFunceble/ci_test/4seeresults.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,6000088.com,/home/travis/build/PyFunceble/ci_test/6000088.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,6000088.com,/home/travis/build/PyFunceble/ci_test/6000088.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,6000088.com,/home/travis/build/PyFunceble/ci_test/6000088.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,6000088.com,/home/travis/build/PyFunceble/ci_test/6000088.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,6000088.com,/home/travis/build/PyFunceble/ci_test/6000088.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,6000788.com,/home/travis/build/PyFunceble/ci_test/6000788.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,6000788.com,/home/travis/build/PyFunceble/ci_test/6000788.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,6000788.com,/home/travis/build/PyFunceble/ci_test/6000788.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,6000788.com,/home/travis/build/PyFunceble/ci_test/6000788.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,6000788.com,/home/travis/build/PyFunceble/ci_test/6000788.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,6001888.com,/home/travis/build/PyFunceble/ci_test/6001888.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,6001888.com,/home/travis/build/PyFunceble/ci_test/6001888.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,6001888.com,/home/travis/build/PyFunceble/ci_test/6001888.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,6001888.com,/home/travis/build/PyFunceble/ci_test/6001888.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,6001888.com,/home/travis/build/PyFunceble/ci_test/6001888.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,6002888.com,/home/travis/build/PyFunceble/ci_test/6002888.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,6002888.com,/home/travis/build/PyFunceble/ci_test/6002888.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,6002888.com,/home/travis/build/PyFunceble/ci_test/6002888.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,6002888.com,/home/travis/build/PyFunceble/ci_test/6002888.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,6002888.com,/home/travis/build/PyFunceble/ci_test/6002888.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,6003388.com,/home/travis/build/PyFunceble/ci_test/6003388.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,6003388.com,/home/travis/build/PyFunceble/ci_test/6003388.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,6003388.com,/home/travis/build/PyFunceble/ci_test/6003388.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,6003388.com,/home/travis/build/PyFunceble/ci_test/6003388.com,2020-12-22T23:46:26.979058
